

                                    GSAT-11 PID AND TM CHANNEL TABULAR OUTPUT                               PAGE  : 1  

Required period  : 21-AUG-2024 00 00 00  TO 31-AUG-2024 00 00 00        STATION : HSN1                          5 SEP 2024
Available period : 21 AUG 2024 00:00:05  TO 31 AUG 2024 00:00:00    THIN. FACTOR:   1     PTM:EXCLUDE  CRC:ENABLE                   13:24:43


                              ES-1 ROLL   ES-1 PITCH  ES-1 DATA   ES-1 SCAN  
                              ERROR  DEG   ERROR DEG  VALID STS   VALID STS  
  DD MMM YYYY HH MM SS FID    7761        7762        4800        4802    

               0  2 39  17       0.006       0.850       VALID       VALID  
               0  2 40  18       0.007       0.861       VALID       VALID  
               0  2 42  19       0.026       0.837       VALID       VALID  
               0  2 43  1a       0.031       0.842       VALID       VALID  
               0  2 44  1b       0.018       0.842       VALID       VALID  
               0  2 45  1c       0.006       0.852       VALID       VALID  
               0  2 46  1d       0.012       0.840       VALID       VALID  
               0  2 47  1e       0.014       0.845       VALID       VALID  
               0  2 48  1f       0.012       0.852       VALID       VALID  
               0  2 49  00       0.015       0.854       VALID       VALID  
               0  2 50  01       0.021       0.840       VALID       VALID  
               0  2 51  02       0.007       0.855       VALID       VALID  
               0  2 52  03       0.009       0.842       VALID       VALID  
               0  2 53  04       0.012       0.840       VALID       VALID  
               0  2 54  05       0.009       0.857       VALID       VALID  
               0  2 55  06       0.021       0.860       VALID       VALID  
               0  2 56  07       0.014       0.857       VALID       VALID  
               0  2 57  08       0.012       0.834       VALID       VALID  
               0  2 58  09       0.006       0.845       VALID       VALID  
               0  2 59  0a       0.009       0.852       VALID       VALID  
               0  3  0  0b       0.014       0.831       VALID       VALID  
               0  3  1  0c       0.022       0.855       VALID       VALID  
               0  3  2  0d       0.011       0.839       VALID       VALID  
               0  3  3  0e       0.024       0.831       VALID       VALID  
               0  3  4  0f       0.022       0.846       VALID       VALID  
               0  3  5  10       0.015       0.849       VALID       VALID  
               0  3  6  11       0.015       0.846       VALID       VALID  
               0  3  7  12       0.019       0.841       VALID       VALID  
               0  3  8  13       0.012       0.860       VALID       VALID  
               0  3  9  14       0.024       0.856       VALID       VALID  
               0  3 10  15       0.011       0.844       VALID       VALID  
               0  3 11  16       0.010       0.855       VALID       VALID  
               0  3 12  17       0.018       0.835       VALID       VALID  
               0  3 13  18       0.014       0.825       VALID       VALID  
               0  3 14  19       0.026       0.846       VALID       VALID  
               0  3 15  1a       0.010       0.850       VALID       VALID  
               0  3 16  1b       0.020       0.847       VALID       VALID  
               0  3 17  1c       0.015       0.841       VALID       VALID  
               0  3 18  1d       0.010       0.847       VALID       VALID  
               0  3 19  1e       0.021       0.844       VALID       VALID  
               0  3 20  1f       0.011       0.846       VALID       VALID  

                                    GSAT-11 PID AND TM CHANNEL TABULAR OUTPUT                               PAGE  : 5  

Required period  : 21-AUG-2024 00 00 00  TO 31-AUG-2024 00 00 00        STATION : HSN1                          5 SEP 2024
Available period : 21 AUG 2024 00:00:05  TO 31 AUG 2024 00:00:00    THIN. FACTOR:   1     PTM:EXCLUDE  CRC:ENABLE                   13:24:43


                              ES-1 ROLL   ES-1 PITCH  ES-1 DATA   ES-1 SCAN  
                              ERROR  DEG   ERROR DEG  VALID STS   VALID STS  
  DD MMM YYYY HH MM SS FID    7761        7762        4800        4802    

               0  3 21  00       0.024       0.855       VALID       VALID  
               0  3 22  01      -0.005       0.845       VALID       VALID  
               0  3 23  02       0.011       0.850       VALID       VALID  
               0  3 25  03       0.022       0.845       VALID       VALID  
               0  3 26  04       0.015       0.849       VALID       VALID  
               0  3 27  05       0.029       0.841       VALID       VALID  
               0  3 28  06       0.005       0.834       VALID       VALID  
               0  3 29  07       0.007       0.850       VALID       VALID  
               0  3 30  08       0.014       0.856       VALID       VALID  
               0  3 31  09       0.014       0.831       VALID       VALID  
               0  3 32  0a       0.020       0.860       VALID       VALID  
               0  3 33  0b       0.014       0.851       VALID       VALID  
               0  3 34  0c       0.019       0.842       VALID       VALID  
               0  3 35  0d      -0.001       0.852       VALID       VALID  
               0  3 36  0e       0.022       0.845       VALID       VALID  
               0  3 37  0f       0.026       0.857       VALID       VALID  
               0  3 38  10       0.007       0.849       VALID       VALID  
               0  3 39  11       0.005       0.857       VALID       VALID  
               0  3 40  12       0.022       0.847       VALID       VALID  
               0  3 41  13       0.001       0.845       VALID       VALID  
               0  3 42  14       0.018       0.852       VALID       VALID  
               0  3 43  15       0.009       0.837       VALID       VALID  
               0  3 44  16       0.012       0.850       VALID       VALID  
               0  3 45  17      -0.010       0.850       VALID       VALID  
               0  3 46  18       0.010       0.842       VALID       VALID  
               0  3 47  19       0.014       0.846       VALID       VALID  
               0  3 48  1a       0.026       0.839       VALID       VALID  
               0  3 49  1b       0.002       0.840       VALID       VALID  
               0  3 50  1c       0.007       0.860       VALID       VALID  
               0  3 51  1d       0.007       0.851       VALID       VALID  
               0  3 52  1e       0.018       0.842       VALID       VALID  
               0  3 53  1f       0.015       0.869       VALID       VALID  
               0  3 54  00       0.011       0.835       VALID       VALID  
               0  3 55  01       0.009       0.841       VALID       VALID  
               0  3 56  02       0.019       0.851       VALID       VALID  
               0  3 57  03       0.009       0.854       VALID       VALID  
               0  3 58  04       0.024       0.839       VALID       VALID  
               0  3 59  05       0.009       0.831       VALID       VALID  
               0  4  0  06       0.007       0.849       VALID       VALID  
               0  4  1  07       0.022       0.846       VALID       VALID  
               0  4  2  08       0.019       0.846       VALID       VALID  
               0  4  3  09       0.010       0.876       VALID       VALID  
               0  4  4  0a       0.010       0.847       VALID       VALID  
               0  4  5  0b       0.010       0.847       VALID       VALID  
               0  4  6  0c       0.005       0.825       VALID       VALID  
               0  4  8  0d       0.006       0.847       VALID       VALID  
               0  4  9  0e       0.012       0.862       VALID       VALID  
               0  4 10  0f       0.018       0.859       VALID       VALID  

                                    GSAT-11 PID AND TM CHANNEL TABULAR OUTPUT                               PAGE  : 6  

Required period  : 21-AUG-2024 00 00 00  TO 31-AUG-2024 00 00 00        STATION : HSN1                          5 SEP 2024
Available period : 21 AUG 2024 00:00:05  TO 31 AUG 2024 00:00:00    THIN. FACTOR:   1     PTM:EXCLUDE  CRC:ENABLE                   13:24:43


                              ES-1 ROLL   ES-1 PITCH  ES-1 DATA   ES-1 SCAN  
